iteration,current_Check,current_Raise50,average_Check,average_Raise50
472,1.000000,0.000000,0.963250,0.036750
473,1.000000,0.000000,0.963250,0.036750
474,1.000000,0.000000,0.963405,0.036595
475,1.000000,0.000000,0.963405,0.036595
476,1.000000,0.000000,0.963558,0.036442
477,1.000000,0.000000,0.963558,0.036442
478,1.000000,0.000000,0.963710,0.036290
479,1.000000,0.000000,0.963710,0.036290
480,1.000000,0.000000,0.963860,0.036140
481,1.000000,0.000000,0.963860,0.036140
482,1.000000,0.000000,0.964009,0.035991
483,1.000000,0.000000,0.964009,0.035991
484,1.000000,0.000000,0.964158,0.035842
485,1.000000,0.000000,0.964158,0.035842
486,1.000000,0.000000,0.964304,0.035696
487,1.000000,0.000000,0.964304,0.035696
488,1.000000,0.000000,0.964450,0.035550
489,1.000000,0.000000,0.964450,0.035550
490,1.000000,0.000000,0.964595,0.035405
491,1.000000,0.000000,0.964595,0.035405
492,1.000000,0.000000,0.964738,0.035262
493,1.000000,0.000000,0.964738,0.035262
494,1.000000,0.000000,0.964880,0.035120
495,1.000000,0.000000,0.964880,0.035120
496,1.000000,0.000000,0.965021,0.034979
497,1.000000,0.000000,0.965021,0.034979
498,1.000000,0.000000,0.965161,0.034839
499,1.000000,0.000000,0.965161,0.034839
500,1.000000,0.000000,0.965300,0.034700
501,1.000000,0.000000,0.965300,0.034700
502,1.000000,0.000000,0.965438,0.034562
503,1.000000,0.000000,0.965438,0.034562
504,1.000000,0.000000,0.965574,0.034426
505,1.000000,0.000000,0.965574,0.034426
506,1.000000,0.000000,0.965710,0.034290
507,1.000000,0.000000,0.965710,0.034290
508,1.000000,0.000000,0.965844,0.034156
509,1.000000,0.000000,0.965844,0.034156
510,1.000000,0.000000,0.965978,0.034022
511,1.000000,0.000000,0.965978,0.034022
512,1.000000,0.000000,0.966110,0.033890
513,1.000000,0.000000,0.966110,0.033890
514,1.000000,0.000000,0.966241,0.033759
515,1.000000,0.000000,0.966241,0.033759
516,1.000000,0.000000,0.966372,0.033628
517,1.000000,0.000000,0.966372,0.033628
518,1.000000,0.000000,0.966501,0.033499
519,1.000000,0.000000,0.966501,0.033499
520,1.000000,0.000000,0.966629,0.033371
521,1.000000,0.000000,0.966629,0.033371
522,1.000000,0.000000,0.966757,0.033243
523,1.000000,0.000000,0.966757,0.033243
524,1.000000,0.000000,0.966883,0.033117
525,1.000000,0.000000,0.966883,0.033117
526,1.000000,0.000000,0.967009,0.032991
527,1.000000,0.000000,0.967009,0.032991
528,1.000000,0.000000,0.967133,0.032867
529,1.000000,0.000000,0.967133,0.032867
530,1.000000,0.000000,0.967257,0.032743
